Date,Open,High,Low,Close,Adj Close,Volume
2019-06-25,467.75,473.5,463.75,465.25,465.25,25124
2019-06-26,464.75,470.75,457.75,469.0,469.0,23775
2019-06-27,468.0,478.5,463.25,468.0,468.0,14853
2019-06-28,468.0,475.0,445.0,451.5,451.5,1554
2019-07-01,452.0,452.0,430.0,434.75,434.75,180
2019-07-02,432.75,437.5,424.0,424.0,424.0,340
2019-07-05,430.5,439.0,430.5,439.0,439.0,83
2019-07-08,438.5,446.25,438.25,442.0,442.0,150
2019-07-09,443.0,443.0,439.0,440.5,440.5,17
2019-07-10,444.0,444.0,441.25,441.25,441.25,8
2019-07-11,441.25,461.25,439.0,461.25,461.25,7
2019-07-12,461.25,461.25,461.25,461.25,461.25,41429
2019-07-15,467.25,472.5,447.25,449.0,449.0,31495
2019-07-16,449.25,451.75,442.25,446.25,446.25,22965
2019-07-17,446.25,451.75,440.0,441.75,441.75,24826
2019-07-18,440.0,441.25,432.0,432.75,432.75,21790
2019-07-19,432.75,452.25,431.25,440.0,440.0,24272
2019-07-22,440.0,443.25,428.0,429.25,429.25,28304
2019-07-23,430.0,435.5,426.5,431.5,431.5,30071
2019-07-24,430.5,441.5,430.25,439.5,439.5,39229
2019-07-25,439.5,450.0,436.0,437.5,437.5,40432
2019-07-26,437.0,438.25,431.0,432.0,432.0,23290
2019-07-29,431.0,440.25,430.0,436.5,436.5,23615
2019-07-30,434.5,436.0,430.0,433.5,433.5,25887
2019-07-31,432.0,434.5,421.25,422.75,422.75,30589
2019-08-01,422.75,425.5,410.75,415.75,415.75,35166
2019-08-02,415.75,422.5,415.75,421.75,421.75,27699
2019-08-05,421.25,427.5,413.5,426.75,426.75,24668
2019-08-06,423.5,425.75,416.5,418.0,418.0,28781
2019-08-07,418.0,420.25,410.5,417.75,417.75,35904
2019-08-08,418.25,422.0,414.75,418.5,418.5,53729
2019-08-09,417.0,421.0,414.75,417.0,417.0,55125
2019-08-12,417.0,417.0,387.5,392.25,392.25,51207
2019-08-13,390.5,396.25,382.75,383.5,383.5,43264
2019-08-14,383.75,390.0,380.75,384.75,384.75,36196
2019-08-15,386.0,392.0,384.5,389.75,389.75,26732
2019-08-16,389.75,394.75,389.25,394.25,394.25,18955
2019-08-19,394.25,394.5,388.75,391.25,391.25,18529
2019-08-20,390.25,393.25,384.5,386.75,386.75,18048
2019-08-21,387.5,388.25,384.0,386.25,386.25,17340
2019-08-22,387.5,394.75,387.0,393.25,393.25,22319
2019-08-23,393.25,395.5,387.75,391.5,391.5,19798
2019-08-26,390.0,395.0,387.75,389.0,389.0,19856
2019-08-27,389.0,394.5,387.5,392.75,392.75,21288
2019-08-28,392.0,393.75,385.75,392.25,392.25,13668
2019-08-29,392.25,393.75,385.25,387.25,387.25,16622
2019-08-30,387.0,387.0,374.25,378.25,378.25,3297
2019-09-03,382.0,382.0,361.75,362.0,362.0,188
2019-09-04,370.25,374.0,367.5,374.0,374.0,140
2019-09-05,378.75,383.0,372.0,382.0,382.0,65
2019-09-06,379.0,379.0,375.25,375.25,375.25,6
2019-09-09,370.25,380.0,370.25,380.0,380.0,7
2019-09-10,375.0,382.0,375.0,382.0,382.0,21
2019-09-11,376.75,376.75,376.75,376.75,376.75,14
2019-09-12,380.0,380.0,380.0,380.0,380.0,4
2019-09-13,387.5,387.75,383.5,383.5,383.5,20157
2019-09-16,403.0,409.75,398.75,409.0,409.0,23294
2019-09-17,406.5,408.5,400.75,402.25,402.25,22082
2019-09-18,402.25,411.0,399.0,409.75,409.75,23490
2019-09-19,409.0,414.0,405.5,409.5,409.5,24776
2019-09-20,408.25,411.75,406.75,407.5,407.5,21332
2019-09-23,409.5,414.0,405.0,406.5,406.5,18206
2019-09-24,405.5,408.25,402.75,405.0,405.0,17287
2019-09-25,404.5,408.0,402.0,404.0,404.0,17309
2019-09-26,403.25,411.25,403.25,408.25,408.25,22052
2019-09-27,409.5,412.5,407.0,407.5,407.5,17492
2019-09-30,408.0,420.0,403.0,415.0,415.0,37371
2019-10-01,414.0,416.75,406.5,411.5,411.5,38491
2019-10-02,411.5,412.75,401.5,405.75,405.75,33218
2019-10-03,404.0,408.25,400.5,405.75,405.75,29011
2019-10-04,404.75,409.25,403.25,404.0,404.0,18094
2019-10-07,405.0,408.0,401.75,402.25,402.25,22051
2019-10-08,402.25,412.25,398.75,410.25,410.25,32688
2019-10-09,409.5,417.75,407.5,413.25,413.25,31934
2019-10-10,411.5,417.0,400.5,403.25,403.25,37829
2019-10-11,403.0,423.25,402.5,419.5,419.5,44132
2019-10-14,424.0,427.75,419.5,425.75,425.75,26821
2019-10-15,423.75,426.0,418.75,421.25,421.25,24705
2019-10-16,420.0,425.75,417.5,425.0,425.0,22996
2019-10-17,425.5,433.25,423.75,431.25,431.25,29757
2019-10-18,430.75,434.0,426.75,433.75,433.75,29278
2019-10-21,432.75,437.25,424.75,425.5,425.5,34889
2019-10-22,424.75,433.75,420.5,421.25,421.25,28958
2019-10-23,421.25,425.0,418.5,423.25,423.25,20583
2019-10-24,424.0,426.75,418.5,419.5,419.5,20226
2019-10-25,420.0,425.25,417.0,422.75,422.75,23884
2019-10-28,423.0,423.25,415.5,417.0,417.0,22063
2019-10-29,417.75,421.75,415.5,419.0,419.0,19646
2019-10-30,419.25,422.0,416.25,418.25,418.25,18457
2019-10-31,418.5,420.75,410.0,419.75,419.75,31985
2019-11-01,418.5,427.0,417.5,426.0,426.0,34676
2019-11-04,424.75,427.5,421.0,423.0,423.0,27440
2019-11-05,423.0,430.0,421.5,428.5,428.5,33963
2019-11-06,428.75,432.25,426.25,427.75,427.75,31302
2019-11-07,427.5,429.25,420.25,424.75,424.75,46610
2019-11-08,424.25,430.0,417.75,421.5,421.5,51023
2019-11-11,421.25,425.0,418.0,422.75,422.75,47799
2019-11-12,424.5,439.25,423.5,438.75,438.75,62726
2019-11-13,438.5,439.0,423.75,424.75,424.75,58249
2019-11-14,427.25,429.0,418.75,422.25,422.25,38277
2019-11-15,421.75,423.0,416.5,417.0,417.0,24567
2019-11-18,416.75,424.0,413.25,418.5,418.5,44043
2019-11-19,417.5,427.75,417.5,425.75,425.75,33922
2019-11-20,426.25,429.75,422.0,426.0,426.0,20997
2019-11-21,426.0,429.0,420.0,421.0,421.0,13550
2019-11-22,421.0,427.25,420.25,424.0,424.0,18483
2019-11-25,424.0,436.5,424.0,435.5,435.5,22783
2019-11-26,435.25,435.75,427.75,432.5,432.5,17571
2019-11-27,431.75,435.75,423.75,426.75,426.75,10913
2019-12-02,439.75,445.5,432.25,437.25,437.25,346
2019-12-03,440.25,444.0,422.5,422.5,422.5,69
2019-12-04,425.5,425.5,425.25,425.25,425.25,3
2019-12-05,426.75,426.75,420.25,420.25,420.25,3
2019-12-06,415.0,415.0,415.0,415.0,415.0,5
2019-12-09,415.25,415.5,411.5,411.5,411.5,8
2019-12-10,416.0,416.0,416.0,416.0,416.0,4
2019-12-11,416.0,416.0,415.5,415.5,415.5,9
2019-12-12,427.5,427.5,427.5,427.5,427.5,9
2019-12-13,427.5,427.5,427.5,427.5,427.5,34442
2019-12-16,444.5,467.0,444.5,462.0,462.0,49547
2019-12-17,461.25,468.0,456.25,467.0,467.0,36325
2019-12-18,464.25,467.0,459.0,462.25,462.25,29181
2019-12-19,462.0,467.75,459.25,460.5,460.5,20511
2019-12-20,460.5,464.75,457.0,462.25,462.25,22735
2019-12-23,461.5,466.75,458.0,458.5,458.5,20861
2019-12-26,461.5,471.75,460.0,470.5,470.5,17750
2019-12-27,471.75,481.5,471.0,479.75,479.75,26701
2019-12-30,482.0,485.0,474.0,480.5,480.5,23948
2019-12-31,480.0,487.0,477.5,486.0,486.0,19826
2020-01-02,485.25,496.75,483.5,485.25,485.25,28323
2020-01-03,485.25,486.0,473.0,475.0,475.0,28124
2020-01-06,472.5,479.0,469.5,477.25,477.25,24230
2020-01-07,476.0,477.0,470.5,475.0,475.0,23755
2020-01-08,473.0,482.75,469.75,480.0,480.0,36862
2020-01-09,480.0,492.75,479.25,490.25,490.25,36860
2020-01-10,490.25,498.25,484.75,494.75,494.75,52351
2020-01-13,496.5,496.5,488.25,492.75,492.75,29279
2020-01-14,491.25,500.75,490.0,497.0,497.0,30885
2020-01-15,496.0,504.25,493.75,496.5,496.5,30121
2020-01-16,496.75,496.75,482.25,484.75,484.75,27049
2020-01-17,485.0,496.0,480.5,494.25,494.25,27260
2020-01-21,495.25,500.75,487.75,500.0,500.0,23480
2020-01-22,499.75,504.75,491.0,492.5,492.5,32322
2020-01-23,492.5,496.25,490.0,492.25,492.25,21677
